,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
0,199,327,527,6,7,527,"[7, 15, 327, 335, 519, 527]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
1,61,492,554,6,42,556,"[42, 44, 490, 492, 554, 556]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
2,431,345,777,6,265,793,"[265, 281, 329, 345, 777, 793]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
3,159,454,614,6,70,614,"[70, 102, 454, 486, 582, 614]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
4,287,332,620,6,76,620,"[76, 108, 332, 364, 588, 620]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
5,187,349,537,6,25,541,"[25, 29, 345, 349, 537, 541]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
6,231,338,570,6,18,570,"[18, 58, 338, 378, 530, 570]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
7,327,435,763,6,243,763,"[243, 251, 435, 443, 755, 763]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
8,151,431,583,6,71,623,"[71, 111, 391, 431, 583, 623]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
9,239,402,642,6,130,658,"[130, 146, 386, 402, 642, 658]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
10,71,499,571,6,51,571,"[51, 59, 499, 507, 563, 571]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
11,381,348,730,6,218,732,"[218, 220, 346, 348, 730, 732]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,3
