,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
0,129,418,548,6,34,548,"[34, 36, 418, 420, 546, 548]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
1,159,488,648,6,136,680,"[136, 168, 456, 488, 648, 680]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
2,231,409,641,6,129,665,"[129, 153, 385, 409, 641, 665]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
3,223,453,677,6,133,677,"[133, 165, 453, 485, 645, 677]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
4,323,451,775,6,259,775,"[259, 263, 451, 455, 771, 775]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
5,126,425,552,6,40,553,"[40, 41, 424, 425, 552, 553]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
6,231,506,738,6,226,762,"[226, 250, 482, 506, 738, 762]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
7,67,498,566,6,50,566,"[50, 54, 498, 502, 562, 566]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
8,317,437,755,6,243,757,"[243, 245, 435, 437, 755, 757]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
9,151,440,592,6,80,632,"[80, 120, 400, 440, 592, 632]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
10,449,357,807,6,293,807,"[293, 295, 357, 359, 805, 807]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
11,135,391,527,6,7,527,"[7, 15, 391, 399, 519, 527]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
12,257,428,686,6,172,686,"[172, 174, 428, 430, 684, 686]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
13,295,331,627,6,75,627,"[75, 115, 331, 371, 587, 627]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,2,2
