,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
0,101,8,110,8,8,110,"[8, 14, 40, 46, 72, 78, 104, 110]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
1,209,59,269,8,11,317,"[11, 13, 59, 61, 267, 269, 315, 317]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
2,237,526,764,8,524,766,"[524, 526, 572, 574, 716, 718, 764, 766]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
3,60,4,65,8,0,69,"[0, 1, 4, 5, 64, 65, 68, 69]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
4,243,523,767,8,523,767,"[523, 527, 571, 575, 715, 719, 763, 767]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
5,48,263,312,8,256,319,"[256, 257, 262, 263, 312, 313, 318, 319]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
6,83,550,634,8,546,638,"[546, 550, 570, 574, 610, 614, 634, 638]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
7,13,442,456,8,392,506,"[392, 394, 440, 442, 456, 458, 504, 506]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
8,141,154,296,8,152,298,"[152, 154, 168, 170, 280, 282, 296, 298]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
9,267,137,405,8,137,405,"[137, 141, 145, 149, 393, 397, 401, 405]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
10,27,243,271,8,203,311,"[203, 207, 243, 247, 267, 271, 307, 311]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
11,8,805,814,8,804,815,"[804, 805, 806, 807, 812, 813, 814, 815]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
12,615,211,827,8,211,827,"[211, 251, 275, 315, 723, 763, 787, 827]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
13,623,11,635,8,11,635,"[11, 59, 75, 123, 523, 571, 587, 635]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
14,687,7,695,8,7,695,"[7, 55, 135, 183, 519, 567, 647, 695]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
15,57,749,807,8,741,815,"[741, 743, 749, 751, 805, 807, 813, 815]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
16,235,52,288,8,32,308,"[32, 36, 48, 52, 288, 292, 304, 308]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
17,102,335,438,8,334,439,"[334, 335, 374, 375, 398, 399, 438, 439]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
18,577,11,589,8,11,589,"[11, 13, 75, 77, 523, 525, 587, 589]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,1,2
