,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
53275,127,24,152,2,24,152,"[24, 152]","[1.0, 1.0]",1.0,0,1,0
53531,383,24,408,2,24,408,"[24, 408]","[1.0, 1.0]",1.0,0,1,0
54081,127,25,153,2,25,153,"[25, 153]","[1.0, 1.0]",1.0,0,1,0
54337,383,25,409,2,25,409,"[25, 409]","[1.0, 1.0]",1.0,0,1,0
102779,63,88,152,2,88,152,"[88, 152]","[1.0, 1.0]",1.0,0,1,0
103035,319,88,408,2,88,408,"[88, 408]","[1.0, 1.0]",1.0,0,1,0
103521,63,89,153,2,89,153,"[89, 153]","[1.0, 1.0]",1.0,0,1,0
103777,319,89,409,2,89,409,"[89, 409]","[1.0, 1.0]",1.0,0,1,0
131639,23,128,152,2,128,152,"[128, 152]","[1.0, 1.0]",1.0,0,1,0
132341,23,129,153,2,129,153,"[129, 153]","[1.0, 1.0]",1.0,0,1,0
137219,15,136,152,2,136,152,"[136, 152]","[1.0, 1.0]",1.0,0,1,0
137913,15,137,153,2,137,153,"[137, 153]","[1.0, 1.0]",1.0,0,1,0
142735,7,144,152,2,144,152,"[144, 152]","[1.0, 1.0]",1.0,0,1,0
143421,7,145,153,2,145,153,"[145, 153]","[1.0, 1.0]",1.0,0,1,0
148189,1,152,154,2,152,154,"[152, 154]","[1.0, 1.0]",1.0,0,1,0
148191,3,152,156,2,152,156,"[152, 156]","[1.0, 1.0]",1.0,0,1,0
148193,5,152,158,2,152,158,"[152, 158]","[1.0, 1.0]",1.0,0,1,0
148195,7,152,160,2,152,160,"[152, 160]","[1.0, 1.0]",1.0,0,1,0
148203,15,152,168,2,152,168,"[152, 168]","[1.0, 1.0]",1.0,0,1,0
148211,23,152,176,2,152,176,"[152, 176]","[1.0, 1.0]",1.0,0,1,0
148219,31,152,184,2,152,184,"[152, 184]","[1.0, 1.0]",1.0,0,1,0
148251,63,152,216,2,152,216,"[152, 216]","[1.0, 1.0]",1.0,0,1,0
148315,127,152,280,2,152,280,"[152, 280]","[1.0, 1.0]",1.0,0,1,0
148379,191,152,344,2,152,344,"[152, 344]","[1.0, 1.0]",1.0,0,1,0
148507,319,152,472,2,152,472,"[152, 472]","[1.0, 1.0]",1.0,0,1,0
148867,1,153,155,2,153,155,"[153, 155]","[1.0, 1.0]",1.0,0,1,0
148869,3,153,157,2,153,157,"[153, 157]","[1.0, 1.0]",1.0,0,1,0
148871,5,153,159,2,153,159,"[153, 159]","[1.0, 1.0]",1.0,0,1,0
148873,7,153,161,2,153,161,"[153, 161]","[1.0, 1.0]",1.0,0,1,0
148881,15,153,169,2,153,169,"[153, 169]","[1.0, 1.0]",1.0,0,1,0
148889,23,153,177,2,153,177,"[153, 177]","[1.0, 1.0]",1.0,0,1,0
148897,31,153,185,2,153,185,"[153, 185]","[1.0, 1.0]",1.0,0,1,0
148929,63,153,217,2,153,217,"[153, 217]","[1.0, 1.0]",1.0,0,1,0
148993,127,153,281,2,153,281,"[153, 281]","[1.0, 1.0]",1.0,0,1,0
149057,191,153,345,2,153,345,"[153, 345]","[1.0, 1.0]",1.0,0,1,0
149185,319,153,473,2,153,473,"[153, 473]","[1.0, 1.0]",1.0,0,1,0
189755,191,216,408,2,216,408,"[216, 408]","[1.0, 1.0]",1.0,0,1,0
190369,191,217,409,2,217,409,"[217, 409]","[1.0, 1.0]",1.0,0,1,0
226971,127,280,408,2,280,408,"[280, 408]","[1.0, 1.0]",1.0,0,1,0
227521,127,281,409,2,281,409,"[281, 409]","[1.0, 1.0]",1.0,0,1,0
260091,63,344,408,2,344,408,"[344, 408]","[1.0, 1.0]",1.0,0,1,0
260577,63,345,409,2,345,409,"[345, 409]","[1.0, 1.0]",1.0,0,1,0
278711,23,384,408,2,384,408,"[384, 408]","[1.0, 1.0]",1.0,0,1,0
279157,23,385,409,2,385,409,"[385, 409]","[1.0, 1.0]",1.0,0,1,0
282243,15,392,408,2,392,408,"[392, 408]","[1.0, 1.0]",1.0,0,1,0
282681,15,393,409,2,393,409,"[393, 409]","[1.0, 1.0]",1.0,0,1,0
285711,7,400,408,2,400,408,"[400, 408]","[1.0, 1.0]",1.0,0,1,0
286141,7,401,409,2,401,409,"[401, 409]","[1.0, 1.0]",1.0,0,1,0
289117,1,408,410,2,408,410,"[408, 410]","[1.0, 1.0]",1.0,0,1,0
289119,3,408,412,2,408,412,"[408, 412]","[1.0, 1.0]",1.0,0,1,0
289121,5,408,414,2,408,414,"[408, 414]","[1.0, 1.0]",1.0,0,1,0
289123,7,408,416,2,408,416,"[408, 416]","[1.0, 1.0]",1.0,0,1,0
289131,15,408,424,2,408,424,"[408, 424]","[1.0, 1.0]",1.0,0,1,0
289139,23,408,432,2,408,432,"[408, 432]","[1.0, 1.0]",1.0,0,1,0
289147,31,408,440,2,408,440,"[408, 440]","[1.0, 1.0]",1.0,0,1,0
289179,63,408,472,2,408,472,"[408, 472]","[1.0, 1.0]",1.0,0,1,0
289539,1,409,411,2,409,411,"[409, 411]","[1.0, 1.0]",1.0,0,1,0
289541,3,409,413,2,409,413,"[409, 413]","[1.0, 1.0]",1.0,0,1,0
289543,5,409,415,2,409,415,"[409, 415]","[1.0, 1.0]",1.0,0,1,0
289545,7,409,417,2,409,417,"[409, 417]","[1.0, 1.0]",1.0,0,1,0
289553,15,409,425,2,409,425,"[409, 425]","[1.0, 1.0]",1.0,0,1,0
289561,23,409,433,2,409,433,"[409, 433]","[1.0, 1.0]",1.0,0,1,0
289569,31,409,441,2,409,441,"[409, 441]","[1.0, 1.0]",1.0,0,1,0
289601,63,409,473,2,409,473,"[409, 473]","[1.0, 1.0]",1.0,0,1,0
335131,127,536,664,2,536,664,"[536, 664]","[1.0, 1.0]",1.0,0,1,0
335425,127,537,665,2,537,665,"[537, 665]","[1.0, 1.0]",1.0,0,1,0
