,Unnamed: 0,Rfirst,Rsecond,total_open_row,min_row_addr,max_row_addr,all_open_indices,success_rates,avg_success_rate,s_id,t_12,t_23
0,28,150,179,8,146,183,"[146, 147, 150, 151, 178, 179, 182, 183]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
1,91,533,625,8,529,629,"[529, 533, 561, 565, 593, 597, 625, 629]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
2,531,29,561,8,25,565,"[25, 29, 49, 53, 537, 541, 561, 565]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
3,221,94,316,8,92,318,"[92, 94, 124, 126, 284, 286, 316, 318]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
4,514,17,532,8,16,533,"[16, 17, 20, 21, 528, 529, 532, 533]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
5,4,69,74,8,66,77,"[66, 67, 68, 69, 74, 75, 76, 77]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
6,243,231,475,8,219,487,"[219, 223, 227, 231, 475, 479, 483, 487]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
7,46,405,452,8,388,469,"[388, 389, 404, 405, 452, 453, 468, 469]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
8,149,629,779,8,587,821,"[587, 589, 627, 629, 779, 781, 819, 821]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
9,483,253,737,8,225,765,"[225, 229, 249, 253, 737, 741, 761, 765]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
10,62,742,805,8,740,807,"[740, 741, 742, 743, 804, 805, 806, 807]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
11,4,327,332,8,324,335,"[324, 325, 326, 327, 332, 333, 334, 335]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
12,4,622,627,8,618,631,"[618, 619, 622, 623, 626, 627, 630, 631]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
13,99,5,105,8,1,109,"[1, 5, 41, 45, 65, 69, 105, 109]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
14,19,633,653,8,585,701,"[585, 589, 633, 637, 649, 653, 697, 701]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
15,124,638,763,8,634,767,"[634, 635, 638, 639, 762, 763, 766, 767]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
16,283,187,471,8,147,511,"[147, 151, 187, 191, 467, 471, 507, 511]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
17,225,186,412,8,154,444,"[154, 156, 186, 188, 410, 412, 442, 444]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
18,9,568,578,8,512,634,"[512, 514, 568, 570, 576, 578, 632, 634]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
19,131,126,258,8,66,318,"[66, 70, 122, 126, 258, 262, 314, 318]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
20,545,69,615,8,69,615,"[69, 71, 101, 103, 581, 583, 613, 615]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
21,527,185,713,8,137,761,"[137, 185, 201, 249, 649, 697, 713, 761]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
22,83,35,119,8,35,119,"[35, 39, 51, 55, 99, 103, 115, 119]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
23,36,324,361,8,320,365,"[320, 321, 324, 325, 360, 361, 364, 365]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
24,221,171,393,8,137,427,"[137, 139, 169, 171, 393, 395, 425, 427]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
25,195,61,257,8,1,317,"[1, 5, 57, 61, 257, 261, 313, 317]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
26,4,758,763,8,754,767,"[754, 755, 758, 759, 762, 763, 766, 767]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
27,450,10,461,8,10,461,"[10, 11, 12, 13, 458, 459, 460, 461]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
28,496,216,713,8,200,729,"[200, 201, 216, 217, 712, 713, 728, 729]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
29,78,671,750,8,670,751,"[670, 671, 686, 687, 734, 735, 750, 751]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
30,101,153,255,8,153,255,"[153, 159, 185, 191, 217, 223, 249, 255]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
31,89,39,129,8,1,167,"[1, 7, 33, 39, 129, 135, 161, 167]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
32,567,89,657,8,81,665,"[81, 89, 145, 153, 593, 601, 657, 665]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
33,173,27,201,8,9,219,"[9, 11, 25, 27, 201, 203, 217, 219]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
34,81,617,699,8,617,699,"[617, 619, 633, 635, 681, 683, 697, 699]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
35,88,132,221,8,132,221,"[132, 133, 156, 157, 196, 197, 220, 221]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
36,32,153,186,8,152,187,"[152, 153, 154, 155, 184, 185, 186, 187]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
37,34,655,690,8,650,695,"[650, 651, 654, 655, 690, 691, 694, 695]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
38,157,151,309,8,149,311,"[149, 151, 181, 183, 277, 279, 309, 311]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0,3,0
