,t_12,t_23,bank_id,s_id,r_first,r_second,all_0,all_1,random
0,40,4,0,0,406,470,1.0,1.0,1.0
0,40,4,1,0,406,470,1.0,1.0,1.0
0,40,4,2,0,406,470,1.0,1.0,1.0
0,40,4,3,0,406,470,1.0,1.0,1.0
0,40,5,0,0,406,470,0.5,0.5,0.5
0,40,5,1,0,406,470,0.5,0.5,0.5
0,40,5,2,0,406,470,0.625,0.625,0.625
0,40,5,3,0,406,470,0.5,0.5,0.5
0,40,6,0,0,406,470,0.5,0.5,0.625
0,40,6,1,0,406,470,0.5,0.5,0.5
0,40,6,2,0,406,470,0.5,0.5,0.5
0,40,6,3,0,406,470,0.5,0.5,0.5
0,50,0,0,0,406,470,1.0,1.0,1.0
0,50,0,1,0,406,470,1.0,1.0,1.0
0,50,0,2,0,406,470,1.0,1.0,1.0
0,50,0,3,0,406,470,1.0,1.0,1.0
0,50,1,0,0,406,470,1.0,1.0,1.0
0,50,1,1,0,406,470,1.0,1.0,1.0
0,50,1,2,0,406,470,1.0,1.0,1.0
0,50,1,3,0,406,470,1.0,1.0,1.0
0,50,2,0,0,406,470,1.0,1.0,1.0
0,50,2,1,0,406,470,1.0,1.0,1.0
0,50,2,2,0,406,470,1.0,1.0,1.0
0,50,2,3,0,406,470,1.0,1.0,1.0
0,50,3,0,0,406,470,1.0,1.0,1.0
0,50,3,1,0,406,470,1.0,1.0,1.0
0,50,3,2,0,406,470,1.0,1.0,1.0
0,50,3,3,0,406,470,1.0,1.0,1.0
0,50,4,0,0,406,470,1.0,1.0,1.0
0,50,4,1,0,406,470,1.0,1.0,1.0
0,50,4,2,0,406,470,1.0,1.0,1.0
0,50,4,3,0,406,470,1.0,1.0,1.0
0,50,5,0,0,406,470,0.5,0.5,0.5
0,50,5,1,0,406,470,0.5,0.5,0.5
0,50,5,2,0,406,470,0.624825,0.624414,0.624032
0,50,5,3,0,406,470,0.5,0.5,0.5
0,50,6,0,0,406,470,0.5,0.5,0.5
0,50,6,1,0,406,470,0.5,0.5,0.5
0,50,6,2,0,406,470,0.5,0.5,0.5
0,50,6,3,0,406,470,0.5,0.5,0.5
0,60,0,0,0,406,470,1.0,1.0,1.0
0,60,0,1,0,406,470,1.0,1.0,1.0
0,60,0,2,0,406,470,1.0,1.0,1.0
0,60,0,3,0,406,470,1.0,1.0,1.0
0,60,1,0,0,406,470,1.0,1.0,1.0
0,60,1,1,0,406,470,1.0,1.0,1.0
0,60,1,2,0,406,470,1.0,1.0,1.0
0,60,1,3,0,406,470,1.0,1.0,1.0
0,60,2,0,0,406,470,1.0,1.0,1.0
0,60,2,1,0,406,470,1.0,1.0,1.0
0,60,2,2,0,406,470,1.0,1.0,1.0
0,60,2,3,0,406,470,1.0,1.0,1.0
0,60,3,0,0,406,470,1.0,1.0,1.0
0,60,3,1,0,406,470,1.0,1.0,1.0
0,60,3,2,0,406,470,1.0,1.0,1.0
0,60,3,3,0,406,470,1.0,1.0,1.0
0,60,4,0,0,406,470,1.0,1.0,1.0
0,60,4,1,0,406,470,1.0,1.0,1.0
0,60,4,2,0,406,470,1.0,1.0,1.0
0,60,4,3,0,406,470,1.0,1.0,1.0
0,60,5,0,0,406,470,0.5,0.5,0.5
0,60,5,1,0,406,470,0.5,0.5,0.5
0,60,5,2,0,406,470,0.625,0.625006,0.625
0,60,5,3,0,406,470,0.5,0.5,0.5
0,60,6,0,0,406,470,0.5,0.5,0.5
0,60,6,1,0,406,470,0.5,0.5,0.5
0,60,6,2,0,406,470,0.5,0.5,0.5
0,60,6,3,0,406,470,0.625,0.5,0.5
0,0,0,0,0,25,33,0.5,0.5,0.5
0,0,0,1,0,25,33,0.5,0.625,0.5
0,0,0,2,0,25,33,0.5,0.5,0.5
0,0,0,3,0,25,33,0.5,0.5,0.5
0,0,1,0,0,25,33,0.5,0.5,0.5
0,0,1,1,0,25,33,0.5,0.5,0.5
0,0,1,2,0,25,33,0.5,0.5,0.5
0,0,1,3,0,25,33,0.5,0.5,0.5
0,0,2,0,0,25,33,0.5,0.5,0.5
0,0,2,1,0,25,33,0.5,0.5,0.5
0,0,2,2,0,25,33,0.5,0.5,0.5
0,0,2,3,0,25,33,0.5,0.5,0.5
0,0,3,0,0,25,33,0.5,0.5,0.5
0,0,3,1,0,25,33,0.5,0.5,0.5
0,0,3,2,0,25,33,0.5,0.5,0.5
0,0,3,3,0,25,33,0.5,0.5,0.5
0,0,4,0,0,25,33,0.5,0.5,0.5
0,0,4,1,0,25,33,0.5,0.5,0.5
0,0,4,2,0,25,33,0.5,0.5,0.5
0,0,4,3,0,25,33,0.5,0.5,0.5
0,0,5,0,0,25,33,0.5,0.5,0.5
0,0,5,1,0,25,33,0.5,0.5,0.5
0,0,5,2,0,25,33,0.5,0.5,0.5
0,0,5,3,0,25,33,0.5,0.5,0.5
0,0,6,0,0,25,33,0.5,0.5,0.5
